product_id,event_time,category_baby_food_formula,category_baking_ingredients,category_candy_chocolate,category_chips_pretzels,category_cleaning_products,category_coffee,category_cookies_cakes,category_crackers,category_energy_granola_bars,category_frozen_meals,category_hair_care,category_ice_cream_ice,category_juice_nectars,category_packaged_cheese,category_refrigerated,category_soup_broth_bouillon,category_spices_seasonings,category_tea,category_vitamins_supplements,category_yogurt
P27,2024-07-04T22:34:32.392Z,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
P28,2024-07-04T22:34:32.392Z,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
P29,2024-07-04T22:34:32.392Z,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
P30,2024-07-04T22:34:32.392Z,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
P31,2024-07-04T22:34:32.392Z,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
P32,2024-07-04T22:34:32.392Z,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
P33,2024-07-04T22:34:32.392Z,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
P34,2024-07-04T22:34:32.392Z,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
P35,2024-07-04T22:34:32.392Z,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
P36,2024-07-04T22:34:32.392Z,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
P37,2024-07-04T22:34:32.392Z,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
P38,2024-07-04T22:34:32.392Z,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
P39,2024-07-04T22:34:32.392Z,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
P40,2024-07-04T22:34:32.392Z,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
P41,2024-07-04T22:34:32.392Z,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
P42,2024-07-04T22:34:32.392Z,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
P43,2024-07-04T22:34:32.392Z,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
P44,2024-07-04T22:34:32.392Z,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
P45,2024-07-04T22:34:32.392Z,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
P46,2024-07-04T22:34:32.392Z,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
P47,2024-07-04T22:34:32.392Z,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
P48,2024-07-04T22:34:32.392Z,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
P49,2024-07-04T22:34:32.392Z,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
P50,2024-07-04T22:34:32.392Z,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
P51,2024-07-04T22:34:32.392Z,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
P52,2024-07-04T22:34:32.392Z,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
P53,2024-07-04T22:34:32.392Z,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
P54,2024-07-04T22:34:32.392Z,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
P55,2024-07-04T22:34:32.392Z,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
P56,2024-07-04T22:34:32.392Z,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
P57,2024-07-04T22:34:32.392Z,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
P58,2024-07-04T22:34:32.392Z,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
P59,2024-07-04T22:34:32.392Z,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
P60,2024-07-04T22:34:32.392Z,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
P61,2024-07-04T22:34:32.392Z,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
P62,2024-07-04T22:34:32.392Z,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
P63,2024-07-04T22:34:32.392Z,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
P64,2024-07-04T22:34:32.392Z,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
P65,2024-07-04T22:34:32.392Z,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
P66,2024-07-04T22:34:32.392Z,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
P67,2024-07-04T22:34:32.392Z,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
P68,2024-07-04T22:34:32.392Z,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
P69,2024-07-04T22:34:32.392Z,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
P70,2024-07-04T22:34:32.392Z,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
P71,2024-07-04T22:34:32.392Z,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
P72,2024-07-04T22:34:32.392Z,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
P73,2024-07-04T22:34:32.392Z,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
P74,2024-07-04T22:34:32.392Z,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
P75,2024-07-04T22:34:32.392Z,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
P76,2024-07-04T22:34:32.392Z,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
P77,2024-07-04T22:34:32.392Z,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
P78,2024-07-04T22:34:32.392Z,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
P79,2024-07-04T22:34:32.392Z,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
P80,2024-07-04T22:34:32.392Z,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
P81,2024-07-04T22:34:32.392Z,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
P82,2024-07-04T22:34:32.392Z,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
P83,2024-07-04T22:34:32.392Z,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
P84,2024-07-04T22:34:32.392Z,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
P85,2024-07-04T22:34:32.392Z,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
P86,2024-07-04T22:34:32.392Z,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
P87,2024-07-04T22:34:32.392Z,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
P88,2024-07-04T22:34:32.392Z,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
P89,2024-07-04T22:34:32.392Z,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
P90,2024-07-04T22:34:32.392Z,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
P91,2024-07-04T22:34:32.392Z,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
P92,2024-07-04T22:34:32.392Z,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
P93,2024-07-04T22:34:32.392Z,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
P94,2024-07-04T22:34:32.392Z,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
P95,2024-07-04T22:34:32.392Z,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
P96,2024-07-04T22:34:32.392Z,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
P97,2024-07-04T22:34:32.392Z,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
P98,2024-07-04T22:34:32.392Z,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
P99,2024-07-04T22:34:32.392Z,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
P100,2024-07-04T22:34:32.392Z,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
P101,2024-07-04T22:34:32.392Z,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
P102,2024-07-04T22:34:32.392Z,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
P103,2024-07-04T22:34:32.392Z,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
P104,2024-07-04T22:34:32.392Z,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
P105,2024-07-04T22:34:32.392Z,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
P106,2024-07-04T22:34:32.392Z,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
P107,2024-07-04T22:34:32.392Z,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
P108,2024-07-04T22:34:32.392Z,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
P109,2024-07-04T22:34:32.392Z,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
P110,2024-07-04T22:34:32.392Z,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
P111,2024-07-04T22:34:32.392Z,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
P112,2024-07-04T22:34:32.392Z,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
P113,2024-07-04T22:34:32.392Z,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
P114,2024-07-04T22:34:32.392Z,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
P115,2024-07-04T22:34:32.392Z,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
P116,2024-07-04T22:34:32.392Z,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
P117,2024-07-04T22:34:32.392Z,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
P118,2024-07-04T22:34:32.392Z,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
P119,2024-07-04T22:34:32.392Z,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
P120,2024-07-04T22:34:32.392Z,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
P121,2024-07-04T22:34:32.392Z,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
P122,2024-07-04T22:34:32.392Z,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
P123,2024-07-04T22:34:32.392Z,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
P124,2024-07-04T22:34:32.392Z,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
P125,2024-07-04T22:34:32.392Z,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
P126,2024-07-04T22:34:32.392Z,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
P127,2024-07-04T22:34:32.392Z,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
P128,2024-07-04T22:34:32.392Z,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
P129,2024-07-04T22:34:32.392Z,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
P130,2024-07-04T22:34:32.392Z,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
P131,2024-07-04T22:34:32.392Z,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
P132,2024-07-04T22:34:32.392Z,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
P133,2024-07-04T22:34:32.392Z,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
P134,2024-07-04T22:34:32.392Z,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
P135,2024-07-04T22:34:32.392Z,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
P136,2024-07-04T22:34:32.392Z,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
P137,2024-07-04T22:34:32.392Z,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
P138,2024-07-04T22:34:32.392Z,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
P139,2024-07-04T22:34:32.392Z,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
P140,2024-07-04T22:34:32.392Z,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
P141,2024-07-04T22:34:32.392Z,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
P142,2024-07-04T22:34:32.392Z,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
P143,2024-07-04T22:34:32.392Z,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
P144,2024-07-04T22:34:32.392Z,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
P145,2024-07-04T22:34:32.392Z,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
P146,2024-07-04T22:34:32.392Z,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
P147,2024-07-04T22:34:32.392Z,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
P148,2024-07-04T22:34:32.392Z,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
P149,2024-07-04T22:34:32.392Z,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
P150,2024-07-04T22:34:32.392Z,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
P151,2024-07-04T22:34:32.392Z,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
P152,2024-07-04T22:34:32.392Z,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
P153,2024-07-04T22:34:32.393Z,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
P154,2024-07-04T22:34:32.393Z,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
P155,2024-07-04T22:34:32.393Z,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
P156,2024-07-04T22:34:32.393Z,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
P157,2024-07-04T22:34:32.393Z,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
P158,2024-07-04T22:34:32.393Z,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
P159,2024-07-04T22:34:32.393Z,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
P160,2024-07-04T22:34:32.393Z,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
P161,2024-07-04T22:34:32.393Z,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
P162,2024-07-04T22:34:32.393Z,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
P163,2024-07-04T22:34:32.393Z,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
P164,2024-07-04T22:34:32.393Z,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
P165,2024-07-04T22:34:32.393Z,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
P166,2024-07-04T22:34:32.393Z,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
P167,2024-07-04T22:34:32.393Z,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
P168,2024-07-04T22:34:32.393Z,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
P169,2024-07-04T22:34:32.393Z,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
P170,2024-07-04T22:34:32.393Z,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
P171,2024-07-04T22:34:32.393Z,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
P172,2024-07-04T22:34:32.393Z,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
P173,2024-07-04T22:34:32.393Z,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
P174,2024-07-04T22:34:32.393Z,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
P175,2024-07-04T22:34:32.393Z,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
P176,2024-07-04T22:34:32.393Z,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
P177,2024-07-04T22:34:32.393Z,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
P178,2024-07-04T22:34:32.393Z,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
P179,2024-07-04T22:34:32.393Z,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
P180,2024-07-04T22:34:32.393Z,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
P181,2024-07-04T22:34:32.393Z,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
P182,2024-07-04T22:34:32.393Z,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
P183,2024-07-04T22:34:32.393Z,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
P184,2024-07-04T22:34:32.393Z,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
P185,2024-07-04T22:34:32.393Z,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
P186,2024-07-04T22:34:32.393Z,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
P187,2024-07-04T22:34:32.393Z,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
P188,2024-07-04T22:34:32.393Z,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
P189,2024-07-04T22:34:32.393Z,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
P190,2024-07-04T22:34:32.393Z,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
P191,2024-07-04T22:34:32.393Z,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
P192,2024-07-04T22:34:32.393Z,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
P193,2024-07-04T22:34:32.393Z,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
P194,2024-07-04T22:34:32.393Z,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
P195,2024-07-04T22:34:32.393Z,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
P196,2024-07-04T22:34:32.393Z,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
P197,2024-07-04T22:34:32.393Z,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
P198,2024-07-04T22:34:32.393Z,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
P199,2024-07-04T22:34:32.393Z,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
P200,2024-07-04T22:34:32.393Z,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
P201,2024-07-04T22:34:32.393Z,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
P202,2024-07-04T22:34:32.393Z,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
P203,2024-07-04T22:34:32.393Z,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
P204,2024-07-04T22:34:32.393Z,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
P205,2024-07-04T22:34:32.393Z,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
P206,2024-07-04T22:34:32.393Z,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
P207,2024-07-04T22:34:32.393Z,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
P208,2024-07-04T22:34:32.393Z,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
P209,2024-07-04T22:34:32.393Z,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
P210,2024-07-04T22:34:32.393Z,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
P211,2024-07-04T22:34:32.393Z,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
P212,2024-07-04T22:34:32.393Z,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
P213,2024-07-04T22:34:32.393Z,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
P214,2024-07-04T22:34:32.393Z,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
P215,2024-07-04T22:34:32.393Z,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
P216,2024-07-04T22:34:32.393Z,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
P217,2024-07-04T22:34:32.393Z,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
P218,2024-07-04T22:34:32.393Z,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
P219,2024-07-04T22:34:32.393Z,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
P220,2024-07-04T22:34:32.393Z,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
P221,2024-07-04T22:34:32.393Z,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
P222,2024-07-04T22:34:32.393Z,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
P223,2024-07-04T22:34:32.393Z,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
P224,2024-07-04T22:34:32.393Z,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
P225,2024-07-04T22:34:32.393Z,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
P226,2024-07-04T22:34:32.393Z,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
P227,2024-07-04T22:34:32.393Z,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
